time,"I(LQ|XSSA1)"
1.768000e-09,5.721705e-06
1.768200e-09,6.292585e-06
1.768400e-09,6.955180e-06
1.768600e-09,7.716651e-06
1.768800e-09,8.583449e-06
1.769000e-09,9.562199e-06
1.769200e-09,1.066082e-05
1.769400e-09,1.188973e-05
1.769600e-09,1.326305e-05
1.769800e-09,1.479966e-05
1.770000e-09,1.652403e-05
1.770200e-09,1.846670e-05
1.770400e-09,2.066437e-05
1.770600e-09,2.315957e-05
1.770800e-09,2.599973e-05
1.771000e-09,2.923552e-05
1.771200e-09,3.291820e-05
1.771400e-09,3.709558e-05
1.771600e-09,4.180585e-05
1.771800e-09,4.706850e-05
1.772000e-09,5.287171e-05
1.772200e-09,5.915591e-05
1.772400e-09,6.579509e-05
1.772600e-09,7.257997e-05
1.772800e-09,7.921081e-05
1.773000e-09,8.530987e-05
1.773200e-09,9.046098e-05
1.773400e-09,9.427517e-05
1.773600e-09,9.646832e-05
1.773800e-09,9.692798e-05
1.774000e-09,9.574680e-05
1.774200e-09,9.321082e-05
1.774400e-09,8.974677e-05
1.774600e-09,8.584486e-05
1.774800e-09,8.197858e-05
1.775000e-09,7.854002e-05
1.775200e-09,7.580080e-05
1.775400e-09,7.390061e-05
1.775600e-09,7.285881e-05
1.775800e-09,7.260182e-05
1.776000e-09,7.299806e-05
1.776200e-09,7.389313e-05
1.776400e-09,7.513952e-05
1.776600e-09,7.661715e-05
1.776800e-09,7.824310e-05
1.777000e-09,7.997075e-05
1.777200e-09,8.177976e-05
1.777400e-09,8.365942e-05
1.777600e-09,8.558966e-05
1.777800e-09,8.752494e-05
1.778000e-09,8.938644e-05
1.778200e-09,9.106609e-05
1.778400e-09,9.244217e-05
1.778600e-09,9.340239e-05
1.778800e-09,9.386735e-05
1.779000e-09,9.380752e-05
1.779200e-09,9.324908e-05
1.779400e-09,9.226810e-05
1.779600e-09,9.097593e-05
1.779800e-09,8.950100e-05
1.780000e-09,8.797204e-05
1.780200e-09,8.650629e-05
1.780400e-09,8.520388e-05
1.780600e-09,8.414736e-05
1.780800e-09,8.340393e-05
1.781000e-09,8.302771e-05
1.781200e-09,8.305957e-05
1.781400e-09,8.352338e-05
1.781600e-09,8.441895e-05
1.781800e-09,8.571331e-05
1.782000e-09,8.733337e-05
1.782200e-09,8.916343e-05
1.782400e-09,9.105077e-05
1.782600e-09,9.282062e-05
1.782800e-09,9.429915e-05
1.783000e-09,9.534010e-05
1.783200e-09,9.584894e-05
1.783400e-09,9.579812e-05
1.783600e-09,9.522997e-05
1.783800e-09,9.424655e-05
1.784000e-09,9.299004e-05
1.784200e-09,9.161859e-05
1.784400e-09,9.028346e-05
1.784600e-09,8.911151e-05
1.784800e-09,8.819512e-05
1.785000e-09,8.758939e-05
1.785200e-09,8.731485e-05
1.785400e-09,8.736354e-05
1.785600e-09,8.770590e-05
1.785800e-09,8.829710e-05
1.786000e-09,8.908175e-05
1.786200e-09,8.999726e-05
1.786400e-09,9.097626e-05
1.786600e-09,9.194922e-05
1.786800e-09,9.284787e-05
1.787000e-09,9.360978e-05
1.787200e-09,9.418384e-05
1.787400e-09,9.453548e-05
1.787600e-09,9.465053e-05
1.787800e-09,9.453655e-05
1.788000e-09,9.422115e-05
1.788200e-09,9.374752e-05
1.788400e-09,9.316813e-05
1.788600e-09,9.253808e-05
1.788800e-09,9.190930e-05
1.789000e-09,9.132663e-05
1.789200e-09,9.082600e-05
1.789400e-09,9.043451e-05
1.789600e-09,9.017152e-05
1.789800e-09,9.004996e-05
1.790000e-09,9.007700e-05
1.790200e-09,9.025372e-05
1.790400e-09,9.057366e-05
1.790600e-09,9.102102e-05
1.790800e-09,9.156894e-05
1.791000e-09,9.217920e-05
1.791200e-09,9.280376e-05
1.791400e-09,9.338862e-05
1.791600e-09,9.387971e-05
1.791800e-09,9.422988e-05
1.792000e-09,9.440555e-05
1.792200e-09,9.439172e-05
1.792400e-09,9.419417e-05
1.792600e-09,9.383844e-05
1.792800e-09,9.336588e-05
1.793000e-09,9.282772e-05
1.793200e-09,9.227841e-05
1.793400e-09,9.176936e-05
1.793600e-09,9.134399e-05
1.793800e-09,9.103455e-05
1.794000e-09,9.086054e-05
1.794200e-09,9.082864e-05
1.794400e-09,9.093352e-05
1.794600e-09,9.115939e-05
1.794800e-09,9.148181e-05
1.795000e-09,9.186989e-05
1.795200e-09,9.228877e-05
1.795400e-09,9.270244e-05
1.795600e-09,9.307680e-05
1.795800e-09,9.338270e-05
1.796000e-09,9.359857e-05
1.796200e-09,9.371235e-05
1.796400e-09,9.372214e-05
1.796600e-09,9.363570e-05
1.796800e-09,9.346867e-05
1.797000e-09,9.324202e-05
1.797200e-09,9.297906e-05
1.797400e-09,9.270267e-05
1.797600e-09,9.243319e-05
1.797800e-09,9.218713e-05
1.798000e-09,9.197690e-05
1.798200e-09,9.181119e-05
1.798400e-09,9.169584e-05
1.798600e-09,9.163468e-05
1.798800e-09,9.163005e-05
1.799000e-09,9.168282e-05
1.799200e-09,9.179193e-05
1.799400e-09,9.195352e-05
1.799600e-09,9.216004e-05
1.799800e-09,9.239968e-05
1.800000e-09,9.265639e-05
1.800200e-09,9.291070e-05
1.800400e-09,9.314125e-05
1.800600e-09,9.332700e-05
1.800800e-09,9.344962e-05
1.801000e-09,9.349578e-05
1.801200e-09,9.345894e-05
1.801400e-09,9.334040e-05
1.801600e-09,9.314940e-05
1.801800e-09,9.290236e-05
1.802000e-09,9.262129e-05
1.802200e-09,9.233170e-05
1.802400e-09,9.206011e-05
1.802600e-09,9.183153e-05
1.802800e-09,9.166714e-05
1.803000e-09,9.158223e-05
1.803200e-09,9.158471e-05
1.803400e-09,9.167421e-05
1.803600e-09,9.184196e-05
1.803800e-09,9.207143e-05
1.804000e-09,9.233986e-05
1.804200e-09,9.262048e-05
1.804400e-09,9.288532e-05
1.804600e-09,9.310824e-05
1.804800e-09,9.326790e-05
1.805000e-09,9.335008e-05
1.805200e-09,9.334925e-05
1.805400e-09,9.326885e-05
1.805600e-09,9.312059e-05
1.805800e-09,9.292264e-05
1.806000e-09,9.269714e-05
1.806200e-09,9.246743e-05
1.806400e-09,9.225540e-05
1.806600e-09,9.207925e-05
1.806800e-09,9.195192e-05
1.807000e-09,9.188033e-05
1.807200e-09,9.186536e-05
1.807400e-09,9.190245e-05
1.807600e-09,9.198270e-05
1.807800e-09,9.209425e-05
1.808000e-09,9.222376e-05
1.808200e-09,9.235781e-05
1.808400e-09,9.248416e-05
