time,"I(LQ|XBFR1)"
1.824000e-10,-3.152076e-06
1.826000e-10,-3.147669e-06
1.828000e-10,-3.143330e-06
1.830000e-10,-3.139010e-06
1.832000e-10,-3.134639e-06
1.834000e-10,-3.130143e-06
1.836000e-10,-3.125461e-06
1.838000e-10,-3.120560e-06
1.840000e-10,-3.115440e-06
1.842000e-10,-3.110132e-06
1.844000e-10,-3.104689e-06
1.846000e-10,-3.099168e-06
1.848000e-10,-3.093623e-06
1.850000e-10,-3.088084e-06
1.852000e-10,-3.082558e-06
1.854000e-10,-3.077027e-06
1.856000e-10,-3.071453e-06
1.858000e-10,-3.065790e-06
1.860000e-10,-3.059993e-06
1.862000e-10,-3.054033e-06
1.864000e-10,-3.047898e-06
1.866000e-10,-3.041596e-06
1.868000e-10,-3.035153e-06
1.870000e-10,-3.028602e-06
1.872000e-10,-3.021978e-06
1.874000e-10,-3.015306e-06
1.876000e-10,-3.008600e-06
1.878000e-10,-3.001858e-06
1.880000e-10,-2.995064e-06
1.882000e-10,-2.988192e-06
1.884000e-10,-2.981218e-06
1.886000e-10,-2.974118e-06
1.888000e-10,-2.966879e-06
1.890000e-10,-2.959498e-06
1.892000e-10,-2.951985e-06
1.894000e-10,-2.944354e-06
1.896000e-10,-2.936625e-06
1.898000e-10,-2.928814e-06
1.900000e-10,-2.920934e-06
1.902000e-10,-2.912990e-06
1.904000e-10,-2.904977e-06
1.906000e-10,-2.896886e-06
1.908000e-10,-2.888705e-06
1.910000e-10,-2.880420e-06
1.912000e-10,-2.872021e-06
1.914000e-10,-2.863503e-06
1.916000e-10,-2.854865e-06
1.918000e-10,-2.846111e-06
1.920000e-10,-2.837250e-06
1.922000e-10,-2.828290e-06
1.924000e-10,-2.819238e-06
1.926000e-10,-2.810099e-06
1.928000e-10,-2.800877e-06
1.930000e-10,-2.791569e-06
1.932000e-10,-2.782171e-06
1.934000e-10,-2.772680e-06
1.936000e-10,-2.763088e-06
1.938000e-10,-2.753392e-06
1.940000e-10,-2.743588e-06
1.942000e-10,-2.733676e-06
1.944000e-10,-2.723656e-06
1.946000e-10,-2.713529e-06
1.948000e-10,-2.703300e-06
1.950000e-10,-2.692971e-06
1.952000e-10,-2.682544e-06
1.954000e-10,-2.672022e-06
1.956000e-10,-2.661406e-06
1.958000e-10,-2.650696e-06
1.960000e-10,-2.639890e-06
1.962000e-10,-2.628986e-06
1.964000e-10,-2.617983e-06
1.966000e-10,-2.606877e-06
1.968000e-10,-2.595666e-06
1.970000e-10,-2.584349e-06
1.972000e-10,-2.572925e-06
1.974000e-10,-2.561393e-06
1.976000e-10,-2.549756e-06
1.978000e-10,-2.538014e-06
1.980000e-10,-2.526170e-06
1.982000e-10,-2.514225e-06
1.984000e-10,-2.502182e-06
1.986000e-10,-2.490040e-06
1.988000e-10,-2.477799e-06
1.990000e-10,-2.465458e-06
1.992000e-10,-2.453014e-06
1.994000e-10,-2.440463e-06
1.996000e-10,-2.427804e-06
1.998000e-10,-2.415035e-06
2.000000e-10,-2.402154e-06
2.002000e-10,-2.389161e-06
2.004000e-10,-2.376057e-06
2.006000e-10,-2.362844e-06
2.008000e-10,-2.349522e-06
2.010000e-10,-2.336095e-06
2.012000e-10,-2.322561e-06
2.014000e-10,-2.308922e-06
2.016000e-10,-2.295175e-06
2.018000e-10,-2.281318e-06
2.020000e-10,-2.267350e-06
2.022000e-10,-2.253266e-06
2.024000e-10,-2.239065e-06
2.026000e-10,-2.224744e-06
2.028000e-10,-2.210303e-06
2.030000e-10,-2.195741e-06
2.032000e-10,-2.181059e-06
2.034000e-10,-2.166255e-06
2.036000e-10,-2.151332e-06
2.038000e-10,-2.136289e-06
2.040000e-10,-2.121124e-06
2.042000e-10,-2.105837e-06
2.044000e-10,-2.090426e-06
2.046000e-10,-2.074887e-06
2.048000e-10,-2.059219e-06
2.050000e-10,-2.043418e-06
2.052000e-10,-2.027483e-06
2.054000e-10,-2.011411e-06
2.056000e-10,-1.995200e-06
2.058000e-10,-1.978847e-06
2.060000e-10,-1.962352e-06
2.062000e-10,-1.945713e-06
2.064000e-10,-1.928928e-06
2.066000e-10,-1.911994e-06
2.068000e-10,-1.894909e-06
2.070000e-10,-1.877671e-06
2.072000e-10,-1.860275e-06
2.074000e-10,-1.842720e-06
2.076000e-10,-1.825002e-06
2.078000e-10,-1.807116e-06
2.080000e-10,-1.789060e-06
2.082000e-10,-1.770829e-06
2.084000e-10,-1.752420e-06
2.086000e-10,-1.733827e-06
2.088000e-10,-1.715045e-06
2.090000e-10,-1.696071e-06
2.092000e-10,-1.676899e-06
2.094000e-10,-1.657524e-06
2.096000e-10,-1.637940e-06
2.098000e-10,-1.618142e-06
2.100000e-10,-1.598123e-06
2.102000e-10,-1.577879e-06
2.104000e-10,-1.557401e-06
2.106000e-10,-1.536684e-06
2.108000e-10,-1.515719e-06
