time,"V(B11|XBFR1)","V(B21|XBFR1)","I(B11|XBFR1)","I(B21|XBFR1)"
5.080000e-11,3.007739e-06,2.960480e-06,-4.696194e-05,4.568472e-05
5.100000e-11,4.731494e-06,4.618271e-06,-4.702863e-05,4.562644e-05
5.120000e-11,5.670051e-06,5.497405e-06,-4.711849e-05,4.555103e-05
5.140000e-11,5.706646e-06,5.504572e-06,-4.721708e-05,4.547087e-05
5.160000e-11,4.867367e-06,4.681957e-06,-4.730863e-05,4.539793e-05
5.180000e-11,3.314851e-06,3.191494e-06,-4.737880e-05,4.534226e-05
5.200000e-11,1.318608e-06,1.284485e-06,-4.741720e-05,4.531097e-05
5.220000e-11,-7.927997e-07,-7.379949e-07,-4.741919e-05,4.530763e-05
5.240000e-11,-2.688088e-06,-2.569085e-06,-4.738639e-05,4.533196e-05
5.260000e-11,-4.086820e-06,-3.939991e-06,-4.732591e-05,4.537972e-05
5.280000e-11,-4.800461e-06,-4.658706e-06,-4.724864e-05,4.544321e-05
5.300000e-11,-4.755054e-06,-4.638055e-06,-4.716716e-05,4.551223e-05
5.320000e-11,-3.994278e-06,-3.907858e-06,-4.709370e-05,4.557572e-05
5.340000e-11,-2.665235e-06,-2.608009e-06,-4.703854e-05,4.562372e-05
5.360000e-11,-9.912868e-07,-9.629352e-07,-4.700883e-05,4.564914e-05
5.380000e-11,7.632968e-07,7.579644e-07,-4.700793e-05,4.564897e-05
5.400000e-11,2.332381e-06,2.286039e-06,-4.703504e-05,4.562464e-05
5.420000e-11,3.486305e-06,3.396337e-06,-4.708535e-05,4.558132e-05
5.440000e-11,4.064916e-06,3.940207e-06,-4.715060e-05,4.552681e-05
5.460000e-11,4.000550e-06,3.863025e-06,-4.722033e-05,4.546992e-05
5.480000e-11,3.326854e-06,3.206080e-06,-4.728349e-05,4.541916e-05
5.500000e-11,2.171225e-06,2.094438e-06,-4.733037e-05,4.538157e-05
5.520000e-11,7.317243e-07,7.142055e-07,-4.735421e-05,4.536200e-05
5.540000e-11,-7.573943e-07,-7.169378e-07,-4.735229e-05,4.536260e-05
5.560000e-11,-2.064903e-06,-1.982085e-06,-4.732623e-05,4.538264e-05
5.580000e-11,-2.999153e-06,-2.896528e-06,-4.728135e-05,4.541860e-05
5.600000e-11,-3.435700e-06,-3.334332e-06,-4.722553e-05,4.546462e-05
5.620000e-11,-3.332177e-06,-3.246191e-06,-4.716778e-05,4.551332e-05
5.640000e-11,-2.729516e-06,-2.665440e-06,-4.711677e-05,4.555700e-05
5.660000e-11,-1.740912e-06,-1.700753e-06,-4.707968e-05,4.558895e-05
5.680000e-11,-5.314538e-07,-5.165269e-07,-4.706133e-05,4.560458e-05
5.700000e-11,7.081582e-07,6.954932e-07,-4.706369e-05,4.560218e-05
5.720000e-11,1.790198e-06,1.747998e-06,-4.708567e-05,4.558303e-05
5.740000e-11,2.557256e-06,2.487440e-06,-4.712336e-05,4.555100e-05
5.760000e-11,2.904799e-06,2.815993e-06,-4.717055e-05,4.551168e-05
5.780000e-11,2.795684e-06,2.703177e-06,-4.721968e-05,4.547139e-05
5.800000e-11,2.264194e-06,2.186405e-06,-4.726309e-05,4.543617e-05
5.820000e-11,1.408691e-06,1.361560e-06,-4.729421e-05,4.541094e-05
5.840000e-11,3.740008e-07,3.659252e-07,-4.730869e-05,4.539897e-05
5.860000e-11,-6.733029e-07,-6.436826e-07,-4.730499e-05,4.540149e-05
5.880000e-11,-1.572178e-06,-1.514538e-06,-4.728458e-05,4.541763e-05
