time,"I(LOUT)","I(LIN|XOUT)","I(LA|XAND)","I(LB|XAND)","I(LC|XAND)"
4.500000e-11,1.135025e-08,-5.407457e-07,-1.109038e-06,1.677331e-06,-1.109038e-06
4.520000e-11,1.376332e-07,-3.299535e-07,-1.020693e-06,1.711433e-06,-1.020693e-06
4.540000e-11,2.259060e-07,-1.139742e-07,-9.191181e-07,1.724262e-06,-9.191181e-07
4.560000e-11,2.715350e-07,7.575608e-08,-8.176781e-07,1.711112e-06,-8.176781e-07
4.580000e-11,2.752315e-07,2.136228e-07,-7.297718e-07,1.673166e-06,-7.297718e-07
4.600000e-11,2.420254e-07,2.833558e-07,-6.669400e-07,1.617236e-06,-6.669400e-07
4.620000e-11,1.799386e-07,2.797762e-07,-6.372705e-07,1.554317e-06,-6.372705e-07
4.640000e-11,9.860189e-08,2.086453e-07,-6.443247e-07,1.497295e-06,-6.443247e-07
4.660000e-11,8.006287e-09,8.482887e-08,-6.867256e-07,1.458280e-06,-6.867256e-07
4.680000e-11,-8.249320e-08,-7.075505e-08,-7.584448e-07,1.446135e-06,-7.584448e-07
4.700000e-11,-1.648713e-07,-2.347883e-07,-8.497240e-07,1.464660e-06,-8.497240e-07
4.720000e-11,-2.328352e-07,-3.851624e-07,-9.484801e-07,1.511798e-06,-9.484801e-07
4.740000e-11,-2.819912e-07,-5.039783e-07,-1.041977e-06,1.579976e-06,-1.041977e-06
4.760000e-11,-3.098458e-07,-5.795303e-07,-1.118523e-06,1.657516e-06,-1.118523e-06
4.780000e-11,-3.157107e-07,-6.070933e-07,-1.168954e-06,1.730815e-06,-1.168954e-06
4.800000e-11,-3.005577e-07,-5.885636e-07,-1.187724e-06,1.786884e-06,-1.187724e-06
4.820000e-11,-2.668405e-07,-5.312023e-07,-1.173477e-06,1.815752e-06,-1.173477e-06
4.840000e-11,-2.182829e-07,-4.458496e-07,-1.129061e-06,1.812272e-06,-1.129061e-06
4.860000e-11,-1.596155e-07,-3.449949e-07,-1.061006e-06,1.777016e-06,-1.061006e-06
4.880000e-11,-9.624943e-08,-2.410302e-07,-9.785615e-07,1.716093e-06,-9.785615e-07
4.900000e-11,-3.388414e-08,-1.449010e-07,-8.924322e-07,1.639963e-06,-8.924322e-07
4.920000e-11,2.193766e-08,-6.524918e-08,-8.133744e-07,1.561500e-06,-8.133744e-07
4.940000e-11,6.629532e-08,-8.031416e-09,-7.508479e-07,1.493664e-06,-7.508479e-07
4.960000e-11,9.533141e-08,2.348133e-08,-7.118865e-07,1.447254e-06,-7.118865e-07
4.980000e-11,1.066164e-07,2.846144e-08,-7.003221e-07,1.429106e-06,-7.003221e-07
5.000000e-11,9.938817e-08,8.179381e-09,-7.164447e-07,1.441069e-06,-7.164447e-07
5.020000e-11,7.463168e-08,-3.433797e-08,-7.571179e-07,1.479898e-06,-7.571179e-07
5.040000e-11,3.498258e-08,-9.459602e-08,-8.163173e-07,1.538039e-06,-8.163173e-07
5.060000e-11,-1.553499e-08,-1.668780e-07,-8.860036e-07,1.605129e-06,-8.860036e-07
5.080000e-11,-7.190716e-08,-2.445015e-07,-9.572086e-07,1.669916e-06,-9.572086e-07
5.100000e-11,-1.286202e-07,-3.201568e-07,-1.021188e-06,1.722219e-06,-1.021188e-06
5.120000e-11,-1.801883e-07,-3.863846e-07,-1.070490e-06,1.754596e-06,-1.070490e-06
5.140000e-11,-2.216668e-07,-4.362118e-07,-1.099820e-06,1.763428e-06,-1.099820e-06
5.160000e-11,-2.491028e-07,-4.639124e-07,-1.106584e-06,1.749256e-06,-1.106584e-06
5.180000e-11,-2.598880e-07,-4.657997e-07,-1.091086e-06,1.716372e-06,-1.091086e-06
5.200000e-11,-2.529884e-07,-4.409124e-07,-1.056347e-06,1.671782e-06,-1.056347e-06
5.220000e-11,-2.290393e-07,-3.914370e-07,-1.007605e-06,1.623773e-06,-1.007605e-06
5.240000e-11,-1.903021e-07,-3.227300e-07,-9.515529e-07,1.580376e-06,-9.515529e-07
5.260000e-11,-1.404873e-07,-2.428617e-07,-8.954315e-07,1.548001e-06,-8.954315e-07
5.280000e-11,-8.445336e-08,-1.616940e-07,-8.460934e-07,1.530493e-06,-8.460934e-07
5.300000e-11,-2.779386e-08,-8.959536e-08,-8.091585e-07,1.528722e-06,-8.091585e-07
5.320000e-11,2.366275e-08,-3.598322e-08,-7.883702e-07,1.540757e-06,-7.883702e-07
5.340000e-11,6.441153e-08,-7.924464e-09,-7.852279e-07,1.562531e-06,-7.852279e-07
