time,"I(RINA)","I(RINB)","I(RINC)","I(LQ|XBS)","I(LQ|XBC)"
3.920000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-4.125234e-07,2.345142e-06
3.940000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-1.511609e-06,1.703114e-06
3.960000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-2.345279e-06,9.645135e-07
3.980000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-2.809767e-06,2.100283e-07
4.000000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-2.862265e-06,-4.907390e-07
4.020000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-2.523801e-06,-1.084086e-06
4.040000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-1.872270e-06,-1.534019e-06
4.060000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-1.027242e-06,-1.821579e-06
4.080000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-1.292307e-07,-1.942528e-06
4.100000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,6.831249e-07,-1.904278e-06
4.120000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.294288e-06,-1.722834e-06
4.140000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.628111e-06,-1.420282e-06
4.160000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.656842e-06,-1.023068e-06
4.180000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.401906e-06,-5.610141e-07
4.200000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,9.269256e-07,-6.678950e-08
4.220000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,3.246424e-07,4.245937e-07
4.240000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-2.998247e-07,8.767171e-07
4.260000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-8.465009e-07,1.253450e-06
4.280000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-1.236005e-06,1.521506e-06
4.300000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-1.420547e-06,1.653692e-06
4.320000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-1.388996e-06,1.632422e-06
4.340000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-1.165657e-06,1.452927e-06
4.360000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-8.034653e-07,1.125501e-06
4.380000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-3.731528e-07,6.762253e-07
4.400000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,4.957110e-08,1.457681e-07
4.420000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,3.966075e-07,-4.138750e-07
4.440000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,6.178097e-07,-9.444892e-07
4.460000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,6.875640e-07,-1.388072e-06
4.480000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,6.068403e-07,-1.693781e-06
4.500000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,4.007701e-07,-1.824455e-06
4.520000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.125481e-07,-1.761773e-06
4.540000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-2.050248e-07,-1.509277e-06
4.560000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-4.987861e-07,-1.092742e-06
4.580000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-7.236895e-07,-5.577230e-07
4.600000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-8.492211e-07,3.550948e-08
